reg_name,field_name,bits,addr,sw_attr,hw_attr,rst_val,reg_attr,description
DAC_CTRL_LNA0,DAC_CTRL_LNA0,7:0,124,rw,r,'0,::sync_rst,LNA0 Bias
DAC_CTRL_LNA1,DAC_CTRL_LNA1,7:0,125,rw,r,'0,::sync_rst,LNA1 Bias
DAC_CTRL_LNA2,DAC_CTRL_LNA2,7:0,126,rw,r,'0,::sync_rst,LNA2 Bias
DAC_CTRL_LNA3,DAC_CTRL_LNA3,7:0,127,rw,r,'0,::sync_rst,LNA3 Bias
DAC_CTRL_LNA0_PDN,DAC_CTRL_LNA0_PDN,7:0,128,rw,r,'0,::sync_rst,LNA0 Bias
DAC_CTRL_LNA1_PDN,DAC_CTRL_LNA1_PDN,7:0,129,rw,r,'0,::sync_rst,LNA1 Bias
DAC_CTRL_LNA2_PDN,DAC_CTRL_LNA2_PDN,7:0,130,rw,r,'0,::sync_rst,LNA2 Bias
DAC_CTRL_LNA3_PDN,DAC_CTRL_LNA3_PDN,7:0,131,rw,r,'0,::sync_rst,LNA3 Bias
REG0_TX0,tx0_cmb_icurr_ctrl,1:0,132,rw,r,'0,::sync_rst,Channel 0 tx combiner iphase block tail sink current control
REG0_TX0,tx0_cmb_qcurr_ctrl,3:2,132,rw,r,'0,::sync_rst,Channel 0 tx combiner qphase block tail sink current control
REG0_TX0,tr_clk_delay_ctrl_3_2,5:4,132,rw,r,'0,::sync_rst,TR input clock delay control to temp_sense_flash_adc and peak detectors
REG0_TX0,tx0_obs_9_8,7:6,132,rw,r,'0,::sync_rst,observation/atb bits for channel 0 TX
REG1_TX0,tx0_obs_7_0,7:0,133,rw,r,'0,::sync_rst,observation/atb bits for channel 0 TX
REG0_TX1,tx1_cmb_icurr_ctrl,1:0,134,rw,r,'0,::sync_rst,Channel 1 tx combiner iphase block tail sink current control
REG0_TX1,tx1_cmb_qcurr_ctrl,3:2,134,rw,r,'0,::sync_rst,Channel 1 tx combiner qphase block tail sink current control
REG0_TX1,tr_clk_delay_ctrl_1_0,5:4,134,rw,r,'0,::sync_rst,TR input clock delay control to temp_sense_flash_adc and peak detectors
REG0_TX1,tx1_obs_9_8,7:6,134,rw,r,'0,::sync_rst,observation/atb bits for channel 1 TX
REG1_TX1,tx1_obs_7_0,7:0,135,rw,r,'0,::sync_rst,observation/atb bits for channel 1 TX
REG0_TX2,tx2_cmb_icurr_ctrl,1:0,136,rw,r,'0,::sync_rst,Channel 2 tx combiner iphase block tail sink current control
REG0_TX2,tx2_cmb_qcurr_ctrl,3:2,136,rw,r,'0,::sync_rst,Channel 2 tx combiner qphase block tail sink current control
REG0_TX2,rsvd4,5:4,136,rw,r,'0,::sync_rst,floating/not used
REG0_TX2,tx2_obs_9_8,7:6,136,rw,r,'0,::sync_rst,observation/atb bits for channel 2 TX
REG1_TX2,tx2_obs_7_0,7:0,137,rw,r,'0,::sync_rst,observation/atb bits for channel 2 TX
REG0_TX3,tx3_cmb_icurr_ctrl,1:0,138,rw,r,'0,::sync_rst,Channel 3 tx combiner iphase block tail sink current control
REG0_TX3,tx3_cmb_qcurr_ctrl,3:2,138,rw,r,'0,::sync_rst,Channel 3 tx combiner qphase block tail sink current control
REG0_TX3,rsvd5,5:4,138,rw,r,'0,::sync_rst,floating/not used
REG0_TX3,tx3_obs_9_8,7:6,138,rw,r,'0,::sync_rst,observation/atb bits for channel 3 TX
REG1_TX3,tx3_obs_7_0,7:0,139,rw,r,'0,::sync_rst,observation/atb bits for channel 3 TX
REG0_RX0,rx0_cmb_icurr_ctrl,1:0,140,rw,r,'0,::sync_rst,Channel 0 rx combiner iphase block tail sink current control
REG0_RX0,rx0_cmb_qcurr_ctrl,3:2,140,rw,r,'0,::sync_rst,Channel 0 rx combiner qphase block tail sink current control
REG0_RX0,rx0_obs_11_8,7:4,140,rw,r,'0,::sync_rst,observation/atb bits for channel 0 RX
REG1_RX0,rx0_obs_7_0,7:0,141,rw,r,'0,::sync_rst,observation/atb bits for channel 0 RX
REG0_RX1,rx1_cmb_icurr_ctrl,1:0,142,rw,r,'0,::sync_rst,Channel 1 rx combiner iphase block tail sink current control
REG0_RX1,rx1_cmb_qcurr_ctrl,3:2,142,rw,r,'0,::sync_rst,Channel 1 rx combiner qphase block tail sink current control
REG0_RX1,rx1_obs_11_8,7:4,142,rw,r,'0,::sync_rst,observation/atb bits for channel 1 RX
REG1_RX1,rx1_obs_7_0,7:0,143,rw,r,'0,::sync_rst,observation/atb bits for channel 1 RX
REG0_RX2,rx2_cmb_icurr_ctrl,1:0,144,rw,r,'0,::sync_rst,Channel 2 rx combiner iphase block tail sink current control
REG0_RX2,rx2_cmb_qcurr_ctrl,3:2,144,rw,r,'0,::sync_rst,Channel 2 rx combiner qphase block tail sink current control
REG0_RX2,rx2_obs_11_8,7:4,144,rw,r,'0,::sync_rst,observation/atb bits for channel 2 RX
REG1_RX2,rx2_obs_7_0,7:0,145,rw,r,'0,::sync_rst,observation/atb bits for channel 2 RX
REG0_RX3,rx3_cmb_icurr_ctrl,1:0,146,rw,r,'0,::sync_rst,Channel 3 rx combiner iphase block tail sink current control
REG0_RX3,rx3_cmb_qcurr_ctrl,3:2,146,rw,r,'0,::sync_rst,Channel 3 rx combiner qphase block tail sink current control
REG0_RX3,rx3_obs_11_8,7:4,146,rw,r,'0,::sync_rst,observation/atb bits for channel 3 RX
REG1_RX3,rx3_obs_7_0,7:0,147,rw,r,'0,::sync_rst,observation/atb bits for channel 3 RX
REG0_EXT_BIAS,ext_bias_top_obs,7:0,148,rw,r,'0,::sync_rst,observation/atb bits for External bias top
REG1_EXT_BIAS,ext_bias_neg_sw_polarity,0:0,149,rw,r,'0,::sync_rst,External bias neg switch polarity control
REG1_EXT_BIAS,ext_bias_neg_sw_isink,1:1,149,rw,r,'0,::sync_rst,External bias neg switch 1mA sink enable 
REG1_EXT_BIAS,ext_bias_neg_sw_highZ_en,2:2,149,rw,r,'0,::sync_rst,External bias neg switch high impedance mode enable
REG1_EXT_BIAS,ext_bias_pos_sw_highZ_en,3:3,149,rw,r,'0,::sync_rst,External bias pos switch high impedance mode enable
REG1_EXT_BIAS,ext_bias_pos_sw_polarity,4:4,149,rw,r,'0,::sync_rst,External bias pos switch polarity control
REG1_EXT_BIAS,rsvd6,7:5,149,rw,r,'0,::sync_rst,floating/not used
REG2_EXT_BIAS,pa0_bias_highZ_en,0:0,150,rw,r,'0,::sync_rst,PA0 bias high impedance mode enable
REG2_EXT_BIAS,pa1_bias_highZ_en,1:1,150,rw,r,'0,::sync_rst,PA1 bias high impedance mode enable
REG2_EXT_BIAS,pa2_bias_highZ_en,2:2,150,rw,r,'0,::sync_rst,PA2 bias high impedance mode enable
REG2_EXT_BIAS,pa3_bias_highZ_en,3:3,150,rw,r,'0,::sync_rst,PA3 bias high impedance mode enable
REG2_EXT_BIAS,lna0_bias_highZ_en,4:4,150,rw,r,'0,::sync_rst,LNA0 bias high impedance mode enable
REG2_EXT_BIAS,lna1_bias_highZ_en,5:5,150,rw,r,'0,::sync_rst,LNA1 bias high impedance mode enable
REG2_EXT_BIAS,lna2_bias_highZ_en,6:6,150,rw,r,'0,::sync_rst,LNA2 bias high impedance mode enable
REG2_EXT_BIAS,lna3_bias_highZ_en,7:7,150,rw,r,'0,::sync_rst,LNA3 bias high impedance mode enable
REG3_EXT_BIAS,pa0_test_mode_en,0:0,151,rw,r,'0,::sync_rst,PA0 Bias test mode enable
REG3_EXT_BIAS,pa1_test_mode_en,1:1,151,rw,r,'0,::sync_rst,PA1 Bias test mode enable
REG3_EXT_BIAS,pa2_test_mode_en,2:2,151,rw,r,'0,::sync_rst,PA2 Bias test mode enable
REG3_EXT_BIAS,pa3_test_mode_en,3:3,151,rw,r,'0,::sync_rst,PA3 Bias test mode enable
REG3_EXT_BIAS,lna0_test_mode_en,4:4,151,rw,r,'0,::sync_rst,LNA0 Bias test mode enable
REG3_EXT_BIAS,lna1_test_mode_en,5:5,151,rw,r,'0,::sync_rst,LNA1 Bias test mode enable
REG3_EXT_BIAS,lna2_test_mode_en,6:6,151,rw,r,'0,::sync_rst,LNA2 Bias test mode enable
REG3_EXT_BIAS,lna3_test_mode_en,7:7,151,rw,r,'0,::sync_rst,LNA3 Bias test mode enable
REG4_EXT_BIAS,rsvd7,7:0,152,rw,r,'0,::sync_rst,floating/not used
REG5_EXT_BIAS,rsvd8,7:0,153,rw,r,'0,::sync_rst,floating/not used
REG6_EXT_BIAS,rsvd9,7:0,154,rw,r,'0,::sync_rst,floating/not used
REG0_BGR,bgr_ptat_amp_ibias_ctrl,3:0,155,rw,r,'0,::sync_rst,BGR error amplifier in PTAT loop input ibias control
REG0_BGR,bgr_hard_startup_en,4:4,155,rw,r,'0,::sync_rst,BGR external forced startup signal
REG0_BGR,bgr_to_adc_ztat_volt_en,5:5,155,rw,r,'0,::sync_rst,.BGR to ADC input ztat 1..8V voltage selection.
REG0_BGR,bgr_to_adc_ptat_volt_en,6:6,155,rw,r,'0,::sync_rst,.BGR to ADC input ptat 1..8V voltage selection.
REG0_BGR,rsvd10,7:7,155,rw,r,'0,::sync_rst,floating/not used
REG0_ADC,adc_osc_cap_ctrl,3:0,156,rw,r,'0,::sync_rst,ADC oscillator cap bank control
REG0_ADC,en_pkdet_to_adc_sw,4:4,156,rw,r,'0,::sync_rst,Enable peak detector to ADC input switch control
REG0_ADC,en_temp_sense_to_adc_sw,5:5,156,rw,r,'0,::sync_rst,Enable temperature sensor to ADC input switch control
REG0_ADC,en_atb_to_adc_sw,6:6,156,rw,r,'0,::sync_rst,Enable atb signals to ADC input switch control
REG0_ADC,en_gp7_to_adc_sw,7:7,156,rw,r,'0,::sync_rst,Enable general purpose 7 to ADC input switch control
REG1_ADC,en_bypass_clk_for_adc,0:0,157,rw,r,'0,::sync_rst,Enable bypass/external clock for ADC
